"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"224",8102153,"Male","Not First Generation College Stdnt","202420",3.35,3.57
"225",8102153,"Male","Not First Generation College Stdnt","202510",NA,3.57
"226",8102286,"Male","Not First Generation College Stdnt","202410",3.54,3.54
"227",8102286,"Male","Not First Generation College Stdnt","202420",3.66,3.6
"228",8102286,"Male","Not First Generation College Stdnt","202510",NA,3.6
"229",8102295,"Male","Not First Generation College Stdnt","202410",3.48,3.48
"230",8102295,"Male","Not First Generation College Stdnt","202420",3.14,3.31
"231",8102295,"Male","Not First Generation College Stdnt","202510",NA,3.31
"232",8102400,"Male","Not First Generation College Stdnt","202410",3.64,3.64
"233",8102400,"Male","Not First Generation College Stdnt","202420",3.36,3.5
"234",8102400,"Male","Not First Generation College Stdnt","202510",NA,3.5
"235",8102524,"Male","Not First Generation College Stdnt","202410",3.39,3.39
"236",8102524,"Male","Not First Generation College Stdnt","202420",3.19,3.28
"237",8102524,"Male","Not First Generation College Stdnt","202510",NA,3.28
"238",8102798,"Male","Not First Generation College Stdnt","202410",2.98,2.98
"239",8102798,"Male","Not First Generation College Stdnt","202420",2.82,2.91
"240",8102798,"Male","Not First Generation College Stdnt","202510",NA,2.89
"241",8102811,"Male","Not First Generation College Stdnt","202410",1.22,1.22
"242",8102811,"Male","Not First Generation College Stdnt","202420",2.26,2.11
"243",8102811,"Male","Not First Generation College Stdnt","202510",NA,2.11
"244",8102842,"Male","Not First Generation College Stdnt","202410",3.78,3.78
"245",8102842,"Male","Not First Generation College Stdnt","202420",3.28,3.53
"246",8102842,"Male","Not First Generation College Stdnt","202510",NA,3.53
"247",8102851,"Male","Not First Generation College Stdnt","202410",3.59,3.59
"248",8102851,"Male","Not First Generation College Stdnt","202420",3.79,3.69
"249",8102851,"Male","Not First Generation College Stdnt","202510",NA,3.69
"250",8102908,"Female","Not First Generation College Stdnt","202410",3.75,3.75
"251",8102908,"Female","Not First Generation College Stdnt","202420",3.42,3.59
"252",8102908,"Female","Not First Generation College Stdnt","202510",NA,3.59
"253",8103304,"Female","Not First Generation College Stdnt","202410",3.89,3.89
"254",8103304,"Female","Not First Generation College Stdnt","202420",3.8,3.85
"255",8103304,"Female","Not First Generation College Stdnt","202510",NA,3.85
"256",8103469,"Female","Not First Generation College Stdnt","202410",4,4
"257",8103469,"Female","Not First Generation College Stdnt","202420",4,4
"258",8103469,"Female","Not First Generation College Stdnt","202510",NA,4
"259",8103883,"Female","Not First Generation College Stdnt","202410",3.75,3.75
"260",8103883,"Female","Not First Generation College Stdnt","202420",3.11,3.44
"261",8103883,"Female","Not First Generation College Stdnt","202510",NA,3.44
"262",8103899,"Male","Not First Generation College Stdnt","202410",3.32,3.32
"263",8103899,"Male","Not First Generation College Stdnt","202420",3.2,3.26
"264",8103899,"Male","Not First Generation College Stdnt","202510",NA,3.26
"265",8104179,"Male","Not First Generation College Stdnt","202410",2.2,2.2
"266",8104179,"Male","Not First Generation College Stdnt","202420",2.75,2.46
"267",8104179,"Male","Not First Generation College Stdnt","202510",NA,2.46
"268",8104279,"Male","Not First Generation College Stdnt","202410",3.56,3.56
"269",8104279,"Male","Not First Generation College Stdnt","202420",3.28,3.42
"270",8104279,"Male","Not First Generation College Stdnt","202510",NA,3.42
"271",8104556,"Male","Not First Generation College Stdnt","202410",3.64,3.64
"272",8104556,"Male","Not First Generation College Stdnt","202420",3.36,3.49
"273",8104556,"Male","Not First Generation College Stdnt","202510",NA,3.49
"274",8104584,"Male","Not First Generation College Stdnt","202410",3.96,3.96
"275",8104584,"Male","Not First Generation College Stdnt","202420",3.94,3.95
"276",8104584,"Male","Not First Generation College Stdnt","202510",NA,3.95
"277",8104623,"Male","Not First Generation College Stdnt","202410",3.45,3.45
"278",8104623,"Male","Not First Generation College Stdnt","202420",3.15,3.31
"279",8104748,"Male","First Generation College Stdnt","202410",3.5,3.5
"280",8104748,"Male","First Generation College Stdnt","202420",3.6,3.55
"281",8104748,"Male","First Generation College Stdnt","202510",NA,3.55
"282",8104808,"Male","Not First Generation College Stdnt","202410",3.91,3.91
"283",8104808,"Male","Not First Generation College Stdnt","202420",3.88,3.9
"284",8104808,"Male","Not First Generation College Stdnt","202510",NA,3.9
"285",8104842,"Male","Not First Generation College Stdnt","202410",2.35,2.35
"286",8104842,"Male","Not First Generation College Stdnt","202420",3.15,2.81
"287",8104842,"Male","Not First Generation College Stdnt","202510",NA,2.81
"288",8104880,"Male","Not First Generation College Stdnt","202410",3.8,3.8
"289",8104880,"Male","Not First Generation College Stdnt","202420",3.94,3.87
"290",8104880,"Male","Not First Generation College Stdnt","202510",NA,3.87
"291",8105202,"Male","Not First Generation College Stdnt","202410",3.48,3.48
"292",8105202,"Male","Not First Generation College Stdnt","202420",3.1,3.3
"293",8105202,"Male","Not First Generation College Stdnt","202510",NA,3.3
"294",8105427,"Female","Not First Generation College Stdnt","202410",3.25,3.25
"295",8105427,"Female","Not First Generation College Stdnt","202420",3.68,3.46
"296",8105427,"Female","Not First Generation College Stdnt","202510",NA,3.46
"297",8105588,"Male","Not First Generation College Stdnt","202410",3,3
"298",8105588,"Male","Not First Generation College Stdnt","202420",3.42,3.2
"299",8105588,"Male","Not First Generation College Stdnt","202510",NA,2.99
"300",8105593,"Male","Not First Generation College Stdnt","202410",3.85,3.85
"301",8105593,"Male","Not First Generation College Stdnt","202420",3.4,3.61
"302",8105593,"Male","Not First Generation College Stdnt","202510",NA,3.61
"303",8105742,"Female","Not First Generation College Stdnt","202410",4,4
"304",8105742,"Female","Not First Generation College Stdnt","202420",3.86,3.93
"305",8105742,"Female","Not First Generation College Stdnt","202510",NA,3.93
"306",8105892,"Male","Not First Generation College Stdnt","202410",3.38,3.38
"307",8105892,"Male","Not First Generation College Stdnt","202420",2.88,3.15
"308",8105892,"Male","Not First Generation College Stdnt","202510",NA,3.15
"309",8106266,"Male","Not First Generation College Stdnt","202410",1.93,1.93
"310",8106266,"Male","Not First Generation College Stdnt","202420",2,2.18
"311",8106266,"Male","Not First Generation College Stdnt","202510",NA,2.18
"312",8107035,"Male","Not First Generation College Stdnt","202410",2.2,2.2
"313",8107035,"Male","Not First Generation College Stdnt","202420",3.36,2.99
"314",8107035,"Male","Not First Generation College Stdnt","202510",NA,2.99
"315",8107364,"Female","Not First Generation College Stdnt","202410",3.84,3.84
"316",8107364,"Female","Not First Generation College Stdnt","202420",3.86,3.85
