"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Graduated","Cum.Credit.Hrs","Cum.UG.Crs.GPA"
"210",8101331,202410,202410,"BA Major","None","None",0,56,"3.92"
"211",8101331,202410,202420,"BA Major","None","None",0,72,"3.96"
"212",8101331,202410,202510,"BA Major","None","None",0,72,"3.96"
"213",8101424,202410,202410,"BA Major","None","None",0,37,"3.92"
"214",8101424,202410,202420,"BA Major","None","None",0,57,"3.78"
"215",8101424,202410,202510,"BA Major","None","None",0,69,"3.81"
"216",8101439,202410,202410,"BA Major","None","None",0,27,"3.8"
"217",8101439,202410,202420,"BA Major","None","None",0,45,"3.59"
"218",8101439,202410,202510,"BA Major","None","None",0,48,"3.6"
"219",8102153,202410,202410,"BA Major","None","None",0,31,"3.78"
"220",8102153,202410,202420,"BA Major","None","None",0,45,"3.57"
"221",8102153,202410,202510,"BA Major","None","None",0,45,"3.57"
"222",8102286,202410,202410,"BA Major","None","None",0,35,"3.54"
"223",8102286,202410,202420,"BA Major","None","None",0,50,"3.6"
"224",8102286,202410,202510,"BA Major","None","None",0,50,"3.6"
"225",8102295,202410,202410,"BA Major","None","None",0,39,"3.48"
"226",8102295,202410,202420,"BA Major","None","None",0,54,"3.31"
"227",8102295,202410,202510,"BA Major","None","None",0,54,"3.31"
"228",8102400,202410,202410,"BA Major","None","None",0,52,"3.64"
"229",8102400,202410,202420,"BA Major","None","None",0,68,"3.5"
"230",8102400,202410,202510,"BA Major","None","None",0,68,"3.5"
"231",8102524,202410,202410,"BA Major","None","None",0,27,"3.39"
"232",8102524,202410,202420,"Supply Chain & Operations Mgmt","None","None",0,41,"3.28"
"233",8102524,202410,202510,"Supply Chain & Operations Mgmt","None","None",0,41,"3.28"
"234",8102798,202410,202410,"BA Major","None","None",0,44,"2.98"
"235",8102798,202410,202420,"BA Major","None","None",0,56,"2.91"
"236",8102798,202410,202510,"BA Major","None","None",0,64,"2.89"
"237",8102811,202410,202410,"BA Major","None","None",0,8,"1.22"
"238",8102811,202410,202420,"BA Major","None","None",0,21,"2.11"
"239",8102811,202410,202510,"BA Major","None","None",0,21,"2.11"
"240",8102842,202410,202410,"BA Major","None","None",0,30,"3.78"
"241",8102842,202410,202420,"Accountancy","None","None",0,45,"3.53"
"242",8102842,202410,202510,"Accountancy","None","None",0,45,"3.53"
"243",8102851,202410,202410,"BA Major","None","None",0,37,"3.59"
"244",8102851,202410,202420,"BA Major","None","None",0,53,"3.69"
"245",8102851,202410,202510,"BA Major","None","None",0,53,"3.69"
"246",8102908,202410,202410,"BA Major","None","None",0,33,"3.75"
"247",8102908,202410,202420,"Marketing","None","None",0,45,"3.59"
"248",8102908,202410,202510,"Marketing","None","None",0,45,"3.59"
"249",8103304,202410,202410,"BA Major","None","None",0,30,"3.89"
"250",8103304,202410,202420,"BA Major","None","None",0,45,"3.85"
"251",8103304,202410,202510,"BA Major","None","None",0,45,"3.85"
"252",8103469,202410,202410,"BA Major","None","None",0,37,"4"
"253",8103469,202410,202420,"BA Major","None","None",0,53,"4"
