"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"224",8204070,"Female","Not First Generation College Stdnt","202320",NA,3.81
"225",8204070,"Female","Not First Generation College Stdnt","202410",3.6,3.76
"226",8204070,"Female","Not First Generation College Stdnt","202420",3.88,3.78
"227",8204070,"Female","Not First Generation College Stdnt","202510",NA,3.78
"228",8204796,"Female","Not First Generation College Stdnt","202210",3.75,3.75
"229",8204796,"Female","Not First Generation College Stdnt","202220",2.65,3.33
"230",8204796,"Female","Not First Generation College Stdnt","202310",2.72,3.1
"231",8204796,"Female","Not First Generation College Stdnt","202320",3,3.1
"232",8204796,"Female","Not First Generation College Stdnt","202410",2.8,3.04
"233",8204796,"Female","Not First Generation College Stdnt","202420",3.52,3.12
"234",8204796,"Female","Not First Generation College Stdnt","202510",NA,3.12
"235",8205621,"Female","Not First Generation College Stdnt","202210",3.96,3.96
"236",8205621,"Female","Not First Generation College Stdnt","202220",4,3.98
"237",8205621,"Female","Not First Generation College Stdnt","202310",3.86,3.94
"238",8205621,"Female","Not First Generation College Stdnt","202320",3.95,3.94
"239",8205621,"Female","Not First Generation College Stdnt","202410",4,3.95
"240",8205621,"Female","Not First Generation College Stdnt","202420",3.9,3.94
"241",8205621,"Female","Not First Generation College Stdnt","202510",NA,3.94
"242",8205774,"Male","Not First Generation College Stdnt","202210",3.96,3.96
"243",8205774,"Male","Not First Generation College Stdnt","202220",3.86,3.92
"244",8205774,"Male","Not First Generation College Stdnt","202310",3.86,3.9
"245",8205774,"Male","Not First Generation College Stdnt","202320",3.88,3.89
"246",8205774,"Male","Not First Generation College Stdnt","202410",3.8,3.87
"247",8205774,"Male","Not First Generation College Stdnt","202420",3.57,3.8
"248",8205774,"Male","Not First Generation College Stdnt","202510",NA,3.8
"249",8206175,"Male","Not First Generation College Stdnt","202210",2.82,2.82
"250",8206175,"Male","Not First Generation College Stdnt","202220",2.64,2.78
"251",8206175,"Male","Not First Generation College Stdnt","202310",2.69,2.75
"252",8206175,"Male","Not First Generation College Stdnt","202320",2.57,2.71
"253",8206175,"Male","Not First Generation College Stdnt","202410",2.8,2.76
