"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"398",8231350,"202230",3,3,76
"399",8231350,"202310",16,16,92
"400",8231350,"202315",6,6,98
"401",8231350,"202320",15,15,113
"402",8231350,"202410",15,15,128
"403",8231350,"202420",16,16,144
"404",8231569,"202110",10,18,18
"405",8231569,"202120",6,12,30
"406",8231569,"202210",12,12,42
"407",8231569,"202220",6,6,48
"408",8231569,"202310",9,9,57
"409",8231569,"202315",3,3,60
"410",8231569,"202320",9,9,69
"411",8231569,"202410",13,16,85
"412",8231569,"202415",6,6,91
"413",8231569,"202420",13,16,107
"414",8231842,"202110",15,18,18
"415",8231842,"202120",15,15,33
"416",8231842,"202210",15,15,48
"417",8231842,"202220",9,9,57
"418",8231842,"202230",3,3,60
"419",8231842,"202310",15,15,75
"420",8231842,"202320",12,12,87
"421",8231842,"202410",15,15,102
"422",8231842,"202415",5,5,107
"423",8231842,"202420",17,17,124
"424",8232786,"202110",12,15,15
"425",8232786,"202120",16,16,31
"426",8232786,"202210",15,15,46
"427",8232786,"202220",15,15,61
"428",8232786,"202310",15,15,76
"429",8232786,"202320",14,14,90
"430",8232786,"202410",14,14,104
"431",8232786,"202420",15,15,119
"432",8233515,"202110",17,17,17
"433",8233515,"202120",15.5,15.5,32.5
"434",8233515,"202210",15,15,47.5
"435",8233515,"202220",15,15,62.5
"436",8233515,"202310",15,15,77.5
"437",8233515,"202320",15,15,92.5
"438",8233515,"202330",3,6,98.5
"439",8233515,"202410",15,15,113.5
"440",8233515,"202420",15,15,128.5
"441",8233844,"202110",15,34,34
"442",8233844,"202120",15,15,49
"443",8233844,"202210",15,15,64
"444",8233844,"202220",18,18,82
"445",8233844,"202310",15,15,97
"446",8233844,"202320",15,15,112
"447",8233844,"202410",16,16,128
"448",8233844,"202420",12,12,140
"449",8234195,"202110",15,24,24
"450",8234195,"202120",15,15,39
"451",8234195,"202210",13,13,52
"452",8234195,"202220",16,16,68
"453",8234195,"202310",15,15,83
"454",8234195,"202320",15,15,98
"455",8234195,"202410",15,15,113
"456",8234195,"202420",16,16,129
"457",8235359,"202110",15,18,18
"458",8235359,"202120",17,17,35
"459",8235359,"202210",15,15,50
"460",8235359,"202220",14,14,64
"461",8235359,"202310",16,16,80
"462",8235359,"202315",6,6,86
"463",8235359,"202320",12,12,98
"464",8235359,"202330",3,3,101
"465",8235359,"202410",12,12,113
"466",8235359,"202420",12,12,125
"467",8235554,"202110",16,16,16
"468",8235554,"202120",14,14,30
"469",8235554,"202210",15,15,45
"470",8235554,"202220",9,9,54
"471",8235554,"202310",17,17,71
"472",8235554,"202320",0,16,87
"473",8235554,"202410",18,21,108
"474",8235554,"202420",16,16,124
"475",8235697,"202110",15,22,22
"476",8235697,"202120",16,16,38
"477",8235697,"202210",15,15,53
"478",8235697,"202220",16,16,69
"479",8235697,"202310",15,15,84
"480",8235697,"202315",3,3,87
"481",8235697,"202320",15,15,102
"482",8235697,"202410",12,12,114
"483",8235697,"202420",12,12,126
"484",8235926,"202110",15,15,15
"485",8235926,"202120",14,14,29
"486",8235926,"202210",15,15,44
"487",8235926,"202220",15,15,59
"488",8235926,"202310",15,15,74
"489",8235926,"202320",15,15,89
"490",8235926,"202410",12,12,101
"491",8235926,"202415",3,3,104
"492",8235926,"202420",15,15,119
"493",8236079,"202110",15,49,49
"494",8236079,"202120",16,16,65
"495",8236079,"202210",16,16,81
"496",8236079,"202220",15,15,96
"497",8236079,"202310",15,15,111
"498",8236079,"202320",16,16,127
"499",8236079,"202410",0,0,127
"500",8236079,"202415",0,0,127
"501",8236079,"202420",0,0,127
"502",8237411,"202110",16,22,22
"503",8237411,"202120",17,17,39
"504",8237411,"202210",12,12,51
"505",8237411,"202220",15,15,66
"506",8237411,"202310",15,15,81
"507",8237411,"202315",6,6,87
"508",8237411,"202320",12,12,99
"509",8237411,"202410",13,13,112
"510",8237411,"202420",13,13,125
"511",8238330,"202110",15,35,35
"512",8238330,"202115",3,3,38
"513",8238330,"202120",16,16,54
"514",8238330,"202210",15,15,69
"515",8238330,"202215",3,3,72
"516",8238330,"202220",15,15,87
"517",8238330,"202230",3,3,90
"518",8238330,"202310",15,15,105
"519",8238330,"202315",6,6,111
"520",8238330,"202320",12,12,123
"521",8238330,"202410",12,12,135
"522",8238330,"202415",3,3,138
"523",8238330,"202420",12,12,150
"524",8239231,"202110",16,38,38
"525",8239231,"202120",15,15,53
"526",8239231,"202210",12,12,65
"527",8239231,"202310",16,16,81
"528",8239231,"202320",15,15,96
"529",8239231,"202410",18,18,114
"530",8239231,"202415",6,6,120
"531",8239231,"202420",15,15,135
"532",8239643,"202110",16,37,37
"533",8239643,"202120",15,15,52
"534",8239643,"202210",15,15,67
"535",8239643,"202220",15,15,82
"536",8239643,"202310",15,15,97
"537",8239643,"202315",6,6,103
"538",8239643,"202320",15,15,118
"539",8239643,"202410",3,3,121
"540",8239643,"202415",0,0,121
"541",8239643,"202420",0,0,121
"542",8240060,"202110",15,39,39
"543",8240060,"202120",16,16,55
"544",8240060,"202210",17,17,72
"545",8240060,"202220",15,15,87
"546",8240060,"202310",15,15,102
"547",8240060,"202320",0,12,114
"548",8240060,"202410",15,15,129
"549",8240060,"202420",12,12,141
"550",8240157,"202110",15,38,38
"551",8240157,"202120",16,16,54
"552",8240157,"202210",16,16,70
"553",8240157,"202220",15,15,85
"554",8240157,"202310",15,15,100
"555",8240157,"202315",6,6,106
"556",8240157,"202320",15,15,121
"557",8240157,"202410",14.5,14.5,135.5
"558",8240157,"202420",14,14,149.5
"559",8242006,"202110",17,52,52
"560",8242006,"202120",12,12,64
"561",8242006,"202130",3,3,67
"562",8242006,"202210",15,15,82
"563",8242006,"202220",17,17,99
"564",8242006,"202310",15,15,114
"565",8242006,"202320",15,15,129
"566",8242006,"202410",15,15,144
"567",8242006,"202420",15,15,159
"568",8242443,"202110",17,45,45
"569",8242443,"202120",16,16,61
"570",8242443,"202130",3,3,64
"571",8242443,"202210",17,17,81
"572",8242443,"202220",16,16,97
"573",8242443,"202310",15,15,112
"574",8242443,"202320",12,12,124
"575",8242443,"202410",9,9,133
"576",8242443,"202420",12,12,145
"577",8243519,"202110",12,29,29
"578",8243519,"202120",15,15,44
"579",8243519,"202210",16,16,60
"580",8243519,"202220",15,15,75
"581",8243519,"202310",15,15,90
"582",8243519,"202320",17,17,107
"583",8243519,"202410",17,17,124
"584",8243519,"202415",3,3,127
"585",8243519,"202420",17,17,144
"586",8243906,"202110",15,15,15
"587",8243906,"202120",17,17,32
"588",8243906,"202210",16,16,48
"589",8243906,"202220",15,15,63
"590",8243906,"202310",18,18,81
"591",8243906,"202315",6,6,87
"592",8243906,"202320",15,15,102
"593",8243906,"202410",19,19,121
"594",8243906,"202415",6,6,127
"595",8243906,"202420",15,15,142
"596",8245801,"202110",16,39,39
"597",8245801,"202120",15,15,54
"598",8245801,"202210",15,15,69
"599",8245801,"202215",3,3,72
"600",8245801,"202220",13,16,88
"601",8245801,"202310",15,15,103
"602",8245801,"202320",12,12,115
"603",8245801,"202410",12,12,127
"604",8246329,"202110",16,25,25
"605",8246329,"202115",3,3,28
"606",8246329,"202120",16,16,44
"607",8246329,"202210",15,15,59
