"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"327",8369263,"MGT291","201820","Y","B","B+",3.3
"328",8368925,"ACC221","201810","Y","B","B+",3.3
"329",8368925,"BUS104","201810","Y","A","A",4
"330",8368925,"CSE148","201820","Y","A","A",4
"331",8368925,"ECO201","201910","Y","A","A",4
"332",8368925,"FIN301","202010","Y","B","B+",3.3
"333",8368925,"ISA225","201910","Y","A","A",4
"334",8368925,"ISA235","201910","Y","A","A",4
"335",8368925,"MGT291","201910","Y","A","A",4
"336",8368121,"ACC221","201810","Y","A","A-",3.7
"337",8368121,"BUS104","201820","Y","A","A",4
"338",8368121,"CSE148","201810","Y","A","A",4
"339",8368121,"ECO201","201910","Y","A","A",4
"340",8368121,"FIN301","201920","Y","A","A",4
"341",8368121,"ISA225","201820","Y","A","A-",3.7
"342",8368121,"ISA235","201910","Y","A","A-",3.7
"343",8368121,"MGT291","201920","Y","A","A-",3.7
"344",8366918,"ACC221","201810","Y","B","B-",2.7
"345",8366918,"BUS104","201810","Y","B","B",3
"346",8366918,"CSE148","201820","Y","B","B",3
"347",8366918,"ECO201","201820","Y","B","B",3
"348",8366918,"FIN301","201920","Y","B","B",3
"349",8366918,"ISA225","201810","Y","C","C+",2.3
"350",8366918,"ISA235","201910","Y","A","A",4
"351",8366918,"MGT291","201910","Y","B","B",3
"352",8365422,"ACC221","201820","Y","A","A",4
"353",8365422,"BUS104","201810","Y","A","A+",4
"354",8365422,"CSE148","201820","Y","A","A",4
"355",8365422,"FIN301","202020","Y","A","A",4
"356",8365422,"ISA225","201910","Y","A","A",4
"357",8365422,"ISA235","201910","Y","A","A",4
"358",8365422,"MGT291","201920","Y","A","A",4
"359",8365422,"MTH151","201820","Y","A","A",4
"360",8365162,"ACC221","201820","Y","C","C-",1.7
"361",8365162,"BUS104","201820","Y","A","A",4
"362",8365162,"CSE148","201810","Y","A","A",4
"363",8365162,"ECO201","201920","Y","A","A",4
"364",8365162,"FIN301","202110","Y","B","B-",2.7
"365",8365162,"ISA225","201920","Y","B","B",3
"366",8365162,"ISA235","201920","Y","A","A-",3.7
"367",8365162,"MGT291","201830","Y","A","A-",3.7
"368",8365162,"MTH151","201810","Y","A","A-",3.7
"369",8364032,"ACC221","201820","Y","B","B+",3.3
"370",8364032,"BUS104","201820","Y","A","A-",3.7
"371",8364032,"CSE148","201810","Y","B","B",3
"372",8364032,"ECO201","201810","Y","B","B",3
"373",8364032,"FIN301","202110","Y","A","A-",3.7
"374",8364032,"ISA225","201910","Y","B","B",3
"375",8364032,"ISA235","201910","Y","A","A",4
"376",8357001,"BUS104","202010","Y","A","A-",3.7
"377",8357001,"CSE148","201920","Y","B","B-",2.7
"378",8357001,"ECO201","201820","Y","B","B",3
"379",8357001,"FIN301","202215","Y","C","C-",1.7
"380",8357001,"ISA225","202120","Y","B","B",3
"381",8357001,"ISA235","202020","Y","B","B-",2.7
"382",8357001,"MGT291","202230","Y","B","B",3
"383",8357001,"MTH151","201910","Y","B","B-",2.7
"384",8355890,"ACC221","201920","Y","B","B",3
"385",8355890,"BUS104","202010","Y","A","A",4
"386",8355890,"CSE148","201920","Y","B","B+",3.3
"387",8355890,"ECO201","201910","Y","A","A",4
"388",8355890,"FIN301","202120","Y","A","A",4
"389",8355890,"ISA225","202010","Y","A","A",4
"390",8355890,"ISA235","202010","Y","A","A-",3.7
"391",8355890,"MGT291","202020","Y","B","B-",2.7
"392",8355890,"MTH151","201810","Y","A","A+",4
"393",8354519,"ACC221","201910","Y","B","B+",3.3
"394",8354519,"BUS104","201910","Y","A","A-",3.7
"395",8354519,"CSE148","201810","Y","A","A",4
"396",8354519,"ECO201","201820","Y","A","A",4
"397",8354519,"FIN301","202030","Y","A","A-",3.7
"398",8354519,"ISA225","202010","Y","A","A-",3.7
"399",8354519,"ISA235","201920","Y","B","B+",3.3
"400",8354519,"MGT291","201920","Y","A","A-",3.7
"401",8354519,"MTH151","201810","Y","A","A+",4
"402",8351487,"BUS104","202020","Y","B","B+",3.3
"403",8351487,"CSE148","202015","Y","A","A",4
"404",8351487,"ISA235","202020","Y","B","B+",3.3
"405",8351487,"MGT291","202120","Y","A","A+",4
"406",8351487,"MTH151","201920","Y","B","B-",2.7
"407",8341458,"ACC221","201920","Y","C","C+",2.3
"408",8341458,"BUS104","201910","Y","A","A-",3.7
