"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Term.Code.Graduated","Graduated","Cum.Credit.Hours","Cum.UG.Crs.GPA"
"158",8196411,202210,202210,"IS Major","None","None",202520,1,37,3.33
"159",8196411,202210,202220,"IS Major","None","None",202520,1,52,2.99
"160",8196411,202210,202310,"IS Major","None","None",202520,1,67,2.99
"161",8196411,202210,202320,"IS Major","None","None",202520,1,85,3.09
"162",8196411,202210,202410,"IS Major","None","None",202520,1,101,3.09
"163",8196411,202210,202420,"IS Major","None","None",202520,1,113,3.11
"164",8196411,202210,202510,"IS Major","None","None",202520,1,113,3.11
"165",8197248,202210,202210,"IS Major","None","None",202520,1,32,3.65
"166",8197248,202210,202220,"IS Major","None","None",202520,1,45,3.34
"167",8197248,202210,202310,"Cybersecurity Mgt Major","None","None",202520,1,57,3.34
"168",8197248,202210,202320,"Cybersecurity Mgt Major","None","None",202520,1,72,3.34
"169",8197248,202210,202410,"Cybersecurity Mgt Major","None","None",202520,1,84,3.37
"170",8197248,202210,202420,"Cybersecurity Mgt Major","None","None",202520,1,99,3.37
"171",8197248,202210,202510,"Cybersecurity Mgt Major","None","None",202520,1,99,3.37
"172",8197334,202210,202210,"Undeclared - Business","None","None",202510,1,40,3.77
"173",8197334,202210,202220,"Undeclared - Business","None","None",202510,1,55,3.81
"174",8197334,202210,202310,"Accountancy","None","None",202510,1,72,3.83
"175",8197334,202210,202320,"Accountancy","IS Major","None",202510,1,87,3.84
"176",8197334,202210,202410,"Accountancy","IS Major","None",202510,1,103,3.81
"177",8197334,202210,202420,"Accountancy","None","None",202510,1,118,3.78
"178",8197334,202210,202510,"Accountancy","None","None",202510,1,118,3.78
"179",8198622,202210,202210,"Business Economics","None","None",NA,NA,57,3.51
"180",8198622,202210,202220,"Business Economics","None","None",NA,NA,72,3.62
"181",8198622,202210,202310,"Business Economics","None","None",NA,NA,87,3.48
"182",8198622,202210,202320,"Finance","IS Major","None",NA,NA,103,3.58
"183",8198622,202210,202410,"Finance","IS Major","None",NA,NA,118,3.45
"184",8198622,202210,202420,"Accountancy","Business Economics","None",NA,NA,133,3.39
"185",8198622,202210,202510,"Accountancy","None","None",NA,NA,133,3.39
"186",8200937,202210,202210,"Undeclared - Business","None","None",NA,NA,12,2.55
"187",8200937,202210,202220,"Undeclared - Business","None","None",NA,NA,28,2.93
"188",8200937,202210,202310,"Undeclared - Business","None","None",NA,NA,44,2.95
"189",8200937,202210,202320,"IS Major","None","None",NA,NA,59,3.03
"190",8200937,202210,202410,"IS Major","None","None",NA,NA,74,2.96
"191",8200937,202210,202420,"IS Major","None","None",NA,NA,89,2.95
"192",8200937,202210,202510,"IS Major","None","None",NA,NA,89,2.95
"193",8201100,202210,202210,"BA Major","None","None",202520,1,15,3.89
"194",8201100,202210,202220,"BA Major","None","None",202520,1,33,3.83
"195",8201100,202210,202310,"BA Major","None","None",202520,1,49,3.76
"196",8201100,202210,202320,"BA Major","None","None",202520,1,64,3.77
"197",8201100,202210,202410,"BA Major","IS Major","None",202520,1,82,3.75
"198",8201100,202210,202420,"BA Major","IS Major","None",202520,1,103,3.78
"199",8201100,202210,202510,"BA Major","IS Major","None",202520,1,103,3.78
"200",8201508,202210,202210,"Human Capital Mgmt& Leadership","None","None",202520,1,29,3.92
"201",8201508,202210,202210,"Human Capital Mgmt& Leadership","None","None",202520,1,29,3.92
"202",8201508,202210,202220,"Finance","None","None",202520,1,49,3.94
"203",8201508,202210,202220,"Finance","None","None",202520,1,49,3.94
"204",8201508,202210,202310,"Finance","None","None",202520,1,67,3.94
"205",8201508,202210,202310,"Finance","None","None",202520,1,67,3.94
"206",8201508,202210,202320,"Finance","IS Major","None",202520,1,85,3.9
"207",8201508,202210,202320,"Finance","IS Major","None",202520,1,85,3.9
"208",8201508,202210,202410,"Finance","IS Major","None",202520,1,100,3.9
"209",8201508,202210,202410,"Finance","IS Major","None",202520,1,100,3.9
"210",8201508,202210,202420,"Finance","IS Major","None",202520,1,120,3.9
"211",8201508,202210,202420,"Finance","IS Major","None",202520,1,120,3.9
"212",8201508,202210,202510,"Finance","IS Major","None",202520,1,120,3.9
"213",8201508,202210,202510,"Finance","IS Major","None",202520,1,120,3.9
"214",8201904,202210,202210,"IS Major","None","None",202520,1,59,2.7
"215",8201904,202210,202220,"IS Major","None","None",202520,1,66,2.1
"216",8201904,202210,202310,"Cybersecurity Mgt Major","None","None",202520,1,75,2.33
"217",8201904,202210,202320,"Cybersecurity Mgt Major","None","None",202520,1,87,2.22
"218",8201904,202210,202410,"Cybersecurity Mgt Major","None","None",202520,1,104,2.15
"219",8201904,202210,202420,"Cybersecurity Mgt Major","None","None",202520,1,125,2.29
"220",8201904,202210,202510,"Cybersecurity Mgt Major","None","None",202520,1,125,2.29
"221",8203154,202210,202210,"CCA","Marketing","None",202520,1,69,4
"222",8203154,202210,202210,"CCA","Marketing","None",202520,1,69,4
"223",8203154,202210,202220,"CCA","Marketing","None",202520,1,88,4
"224",8203154,202210,202220,"CCA","Marketing","None",202520,1,88,4
"225",8203154,202210,202310,"CCA","Marketing","None",202520,1,109,3.93
"226",8203154,202210,202310,"CCA","Marketing","None",202520,1,109,3.93
"227",8203154,202210,202320,"CCA","IS Major","None",202520,1,127,3.94
"228",8203154,202210,202320,"CCA","IS Major","None",202520,1,127,3.94
"229",8203154,202210,202410,"CCA","IS Major","None",202520,1,147,3.91
"230",8203154,202210,202410,"CCA","IS Major","None",202520,1,147,3.91
"231",8203154,202210,202420,"CCA","IS Major","None",202520,1,163,3.85
"232",8203154,202210,202420,"CCA","IS Major","None",202520,1,163,3.85
"233",8203154,202210,202510,"CCA","IS Major","None",202520,1,166,3.83
"234",8203154,202210,202510,"CCA","IS Major","None",202520,1,166,3.83
"235",8203997,202210,202210,"Undeclared - Business","None","None",202520,1,29,3.56
"236",8203997,202210,202220,"Undeclared - Business","None","None",202520,1,44,3.48
"237",8203997,202210,202310,"Undeclared - Business","None","None",202520,1,59,3.27
"238",8203997,202210,202320,"IS Major","None","None",202520,1,75,3.2
"239",8203997,202210,202410,"IS Major","None","None",202520,1,90,3.12
"240",8203997,202210,202420,"IS Major","None","None",202520,1,105,3.11
"241",8203997,202210,202510,"IS Major","None","None",202520,1,108,3.14
"242",8204070,202210,202210,"Finance","None","None",202520,1,19,3.75
"243",8204070,202210,202220,"BA Major","None","None",202520,1,36,3.82
"244",8204070,202210,202310,"BA Major","None","None",202520,1,54,3.81
"245",8204070,202210,202320,"IS Major","None","None",202520,1,70,3.81
"246",8204070,202210,202410,"IS Major","None","None",202520,1,85,3.76
"247",8204070,202210,202420,"IS Major","None","None",202520,1,100,3.78
"248",8204070,202210,202510,"IS Major","None","None",202520,1,100,3.78
"249",8204796,202210,202210,"CAS","Human Capital Mgmt& Leadership","None",202520,1,12,3.75
"250",8204796,202210,202220,"CAS","Human Capital Mgmt& Leadership","None",202520,1,30,3.33
"251",8204796,202210,202310,"CAS","Human Capital Mgmt& Leadership","None",202520,1,53,3.1
"252",8204796,202210,202320,"IS Major","None","None",202520,1,74,3.1
"253",8204796,202210,202410,"IS Major","None","None",202520,1,94,3.04
"254",8204796,202210,202420,"IS Major","None","None",202520,1,116,3.12
"255",8204796,202210,202510,"IS Major","None","None",202520,1,121,3.12
"256",8205621,202210,202210,"Human Capital Mgmt& Leadership","None","None",202520,1,59,3.96
"257",8205621,202210,202210,"Human Capital Mgmt& Leadership","None","None",202520,1,59,3.96
"258",8205621,202210,202220,"Human Capital Mgmt& Leadership","None","None",202520,1,75,3.98
"259",8205621,202210,202220,"Human Capital Mgmt& Leadership","None","None",202520,1,75,3.98
"260",8205621,202210,202310,"Marketing","None","None",202520,1,90,3.94
"261",8205621,202210,202310,"Marketing","None","None",202520,1,90,3.94
"262",8205621,202210,202320,"IS Major","Marketing","None",202520,1,108,3.94
"263",8205621,202210,202320,"IS Major","Marketing","None",202520,1,108,3.94
"264",8205621,202210,202410,"IS Major","Marketing","None",202520,1,126,3.95
"265",8205621,202210,202410,"IS Major","Marketing","None",202520,1,126,3.95
"266",8205621,202210,202420,"IS Major","Marketing","None",202520,1,144,3.94
"267",8205621,202210,202420,"IS Major","Marketing","None",202520,1,144,3.94
"268",8205621,202210,202510,"IS Major","Marketing","None",202520,1,144,3.94
"269",8205621,202210,202510,"IS Major","Marketing","None",202520,1,144,3.94
"270",8205774,202210,202210,"Undeclared - Business","None","None",202515,1,37,3.96
"271",8205774,202210,202220,"Undeclared - Business","None","None",202515,1,53,3.92
"272",8205774,202210,202310,"IS Major","None","None",202515,1,68,3.9
"273",8205774,202210,202320,"IS Major","None","None",202515,1,83,3.89
"274",8205774,202210,202410,"IS Major","None","None",202515,1,98,3.87
"275",8205774,202210,202420,"IS Major","None","None",202515,1,118,3.8
"276",8205774,202210,202510,"IS Major","None","None",202515,1,118,3.8
"277",8206175,202210,202210,"IS Major","None","None",NA,NA,17,2.82
"278",8206175,202210,202220,"IS Major","None","None",NA,NA,34,2.78
"279",8206175,202210,202310,"Cybersecurity Mgt Major","None","None",NA,NA,48,2.75
"280",8206175,202210,202320,"Cybersecurity Mgt Major","None","None",NA,NA,60,2.71
"281",8206175,202210,202410,"Cybersecurity Mgt Major","None","None",NA,NA,79,2.76
"282",8206175,202210,202420,"Supply Chain & Operations Mgmt","None","None",NA,NA,91,2.78
"283",8206175,202210,202510,"Supply Chain & Operations Mgmt","None","None",NA,NA,91,2.78
"284",8207043,202210,202210,"Undeclared - Business","None","None",202520,1,15,3.22
"285",8207043,202210,202220,"Undeclared - Business","None","None",202520,1,31,3.39
"286",8207043,202210,202310,"IS Major","None","None",202520,1,48,3.33
"287",8207043,202210,202320,"IS Major","None","None",202520,1,65,3.13
"288",8207043,202210,202410,"IS Major","None","None",202520,1,82,3.01
"289",8207043,202210,202420,"IS Major","None","None",202520,1,98,3.01
"290",8207043,202210,202510,"IS Major","None","None",202520,1,98,3.01
"291",8208211,202210,202210,"Finance","None","None",202520,1,61,3.51
"292",8208211,202210,202220,"Finance","None","None",202520,1,73,3.65
"293",8208211,202210,202310,"Accountancy","Finance","None",202520,1,88,3.63
"294",8208211,202210,202320,"Accountancy","Finance","None",202520,1,104,3.65
"295",8208211,202210,202410,"Accountancy","BA Major","None",202520,1,119,3.67
"296",8208211,202210,202420,"BA Major","IS Major","None",202520,1,140,3.68
"297",8208211,202210,202510,"BA Major","IS Major","None",202520,1,140,3.68
"298",8218558,202210,202210,"Business Economics","None","None",202510,1,60,3.58
"299",8218558,202210,202220,"IS Major","None","None",202510,1,79,3.75
"300",8218558,202210,202310,"IS Major","None","None",202510,1,97,3.74
"301",8218558,202210,202320,"IS Major","None","None",202510,1,112,3.72
"302",8218558,202210,202410,"IS Major","None","None",202510,1,124,3.69
"303",8218558,202210,202420,"IS Major","None","None",202510,1,139,3.64
"304",8218558,202210,202510,"IS Major","None","None",202510,1,142,3.62
"305",8223835,202110,202110,"CAS","None","None",202420,1,22,3.82
"306",8223835,202110,202120,"CAS","None","None",202420,1,38,3.93
"307",8223835,202110,202210,"Finance","None","None",202420,1,53,3.86
"308",8223835,202110,202220,"Finance","None","None",202420,1,70,3.78
"309",8223835,202110,202310,"Finance","None","None",202420,1,85,3.59
"310",8223835,202110,202320,"IS Major","None","None",202420,1,101,3.59
"311",8223835,202110,202410,"IS Major","None","None",202420,1,116,3.57
"312",8223835,202110,202420,"IS Major","None","None",202420,1,131,3.61
"313",8225982,202210,202210,"CCA","IS Major","None",NA,NA,36,3.72
"314",8225982,202210,202220,"CCA","IS Major","None",NA,NA,57,3.82
"315",8226272,202110,202110,"Undeclared - Business","None","None",202420,1,37,3.52
"316",8226272,202110,202110,"Undeclared - Business","None","None",202420,1,37,3.52
"317",8226272,202110,202120,"Undeclared - Business","None","None",202420,1,54,3.61
"318",8226272,202110,202120,"Undeclared - Business","None","None",202420,1,54,3.61
"319",8226272,202110,202210,"IS Major","None","None",202420,1,69,3.57
"320",8226272,202110,202210,"IS Major","None","None",202420,1,69,3.57
"321",8226272,202110,202220,"IS Major","Marketing","None",202420,1,85,3.57
"322",8226272,202110,202220,"IS Major","Marketing","None",202420,1,85,3.57
"323",8226272,202110,202310,"IS Major","Marketing","None",202420,1,101,3.6
"324",8226272,202110,202310,"IS Major","Marketing","None",202420,1,101,3.6
"325",8226272,202110,202320,"IS Major","Marketing","None",202420,1,117,3.61
"326",8226272,202110,202320,"IS Major","Marketing","None",202420,1,117,3.61
"327",8226272,202110,202410,"IS Major","Marketing","None",202420,1,133,3.67
"328",8226272,202110,202410,"IS Major","Marketing","None",202420,1,133,3.67
"329",8226272,202110,202420,"IS Major","Marketing","None",202420,1,150,3.69
"330",8226272,202110,202420,"IS Major","Marketing","None",202420,1,150,3.69
"331",8226515,202110,202110,"Business Economics","None","None",NA,NA,12,3.95
"332",8226515,202110,202120,"Business Economics","None","None",NA,NA,24,3.68
"333",8226515,202110,202210,"IS Major","None","None",NA,NA,33,3.74
"334",8226515,202110,202220,"IS Major","None","None",NA,NA,42,3.77
"335",8226515,202110,202310,"IS Major","None","None",NA,NA,55,3.65
