"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"249",8386140,"MGT291","201910","Y","B","B+",3.3
"250",8386138,"ACC221","201820","Y","A","A",4
"251",8386138,"BUS104","201810","Y","A","A",4
"252",8386138,"CSE148","201820","Y","A","A",4
"253",8386138,"ECO201","201910","Y","A","A",4
"254",8386138,"FIN301","202110","Y","A","A",4
"255",8386138,"ISA225","201820","Y","A","A",4
"256",8386138,"ISA235","201910","Y","A","A-",3.7
"257",8386138,"ISA245","201920","Y","A","A",4
"258",8386138,"ISA281","202010","Y","A","A",4
"259",8386138,"ISA301","202020","Y","B","B+",3.3
"260",8386138,"ISA387","202110","Y","A","A",4
"261",8386138,"ISA401","202110","Y","A","A-",3.7
"262",8386138,"ISA406","202120","Y","A","A",4
"263",8386138,"ISA414","202120","Y","A","A",4
"264",8386138,"ISA495","202120","Y","A","A",4
"265",8386138,"MGT291","202020","Y","A","A",4
"266",8385894,"ACC221","201910","Y","B","B",3
"267",8385894,"BUS104","201820","Y","B","B-",2.7
"268",8385894,"CSE148","201810","Y","B","B+",3.3
"269",8385894,"ECO201","201910","Y","D","D+",1.3
"270",8385894,NA,"201920","Y","B","B",3
"271",8385894,"FIN301","202010","Y","B","B",3
"272",8385894,"ISA235","201920","Y","B","B+",3.3
"273",8385894,"ISA245","202010","Y","B","B",3
"274",8385894,"ISA301","202110","Y","B","B",3
"275",8385894,"ISA401","202120","Y","C","C+",2.3
"276",8385894,"ISA406","202120","Y","B","B+",3.3
"277",8385894,"ISA495","202120","Y","A","A",4
"278",8385894,"MGT291","202015","Y","A","A-",3.7
"279",8385582,"ACC221","201910","Y","B","B+",3.3
"280",8385582,"BUS104","201820","Y","A","A-",3.7
"281",8385582,"CSE148","201810","Y","C","C+",2.3
"282",8385582,"ECO201","201910","Y","C","C",2
"283",8385582,"FIN301","202010","Y","C","C",2
"284",8385582,"ISA225","201820","Y","C","C+",2.3
"285",8385582,"ISA235","201920","Y","A","A-",3.7
"286",8385582,"ISA245","202020","Y","A","A-",3.7
"287",8385582,"ISA281","202020","Y","A","A",4
"288",8385582,"ISA301","202020","Y","A","A",4
"289",8385582,"ISA303","202010","Y","B","B",3
"290",8385582,"ISA387","202110","Y","B","B+",3.3
"291",8385582,"ISA405","202120","Y","A","A-",3.7
"292",8385582,"ISA406","202120","Y","A","A-",3.7
"293",8385582,"ISA495","202120","Y","A","A",4
"294",8385582,"MGT291","201910","Y","A","A-",3.7
"295",8384480,"ACC221","201820","Y","C","C-",1.7
"296",8384480,"BUS104","201810","Y","B","B+",3.3
"297",8384480,"CSE148","201820","Y","C","C",2
"298",8384480,"ECO201","201910","Y","D","D+",1.3
"299",8384480,"ISA235","201910","Y","B","B",3
"300",8384480,"ISA245","201920","Y","B","B",3
"301",8384480,"ISA281","202010","Y","B","B+",3.3
"302",8384480,"ISA405","202120","Y","B","B+",3.3
"303",8384480,"ISA406","202120","Y","A","A",4
"304",8384480,"ISA495","202120","Y","A","A",4
"305",8384480,"MGT291","202010","Y","A","A",4
"306",8384327,"ACC221","201910","Y","B","B+",3.3
"307",8384327,"BUS104","201910","Y","A","A",4
"308",8384327,"CSE148","201920","Y","B","B+",3.3
"309",8384327,"ECO201","201820","Y","B","B-",2.7
"310",8384327,"FIN301","202010","Y","A","A-",3.7
"311",8384327,"ISA225","202010","Y","A","A-",3.7
"312",8384327,"ISA235","202010","Y","A","A",4
"313",8384327,"ISA245","202020","Y","A","A+",4
"314",8384327,"ISA281","202020","Y","A","A",4
"315",8384327,"ISA301","202110","Y","A","A-",3.7
"316",8384327,"ISA387","202110","Y","A","A",4
"317",8384327,"ISA401","202110","Y","A","A",4
"318",8384327,"ISA406","202120","Y","A","A",4
"319",8384327,"ISA414","202110","Y","A","A-",3.7
"320",8384327,"ISA495","202120","Y","A","A",4
"321",8384327,"MGT291","201920","Y","B","B+",3.3
"322",8384327,"MTH151","201810","Y","A","A",4
"323",8383536,"ACC221","202010","Y","D","D-",0.7
"324",8383536,"BUS104","202020","Y","B","B",3
"325",8383536,"ECO201","201910","Y","C","C+",2.3
"326",8383536,"FIN301","202120","Y","B","B",3
"327",8383536,"ISA225","202210","Y","C","C+",2.3
"328",8383536,"ISA235","202115","Y","B","B",3
"329",8383536,"ISA245","202120","Y","C","C",2
"330",8383536,"ISA281","202220","Y","C","C",2
"331",8383536,"ISA301","202120","Y","B","B",3
"332",8383536,"ISA303","202120","Y","D","D+",1.3
"333",8383536,"ISA387","202210","Y","C","C",2
"334",8383536,"ISA406","202220","Y","B","B+",3.3
"335",8383536,"ISA495","202220","Y","C","C",2
"336",8383536,"MGT291","202010","Y","B","B+",3.3
"337",8383536,"MTH151","201820","Y","A","A-",3.7
"338",8382573,"ACC221","201910","Y","A","A",4
"339",8382573,"BUS104","201820","Y","A","A",4
"340",8382573,"CSE148","201810","Y","A","A",4
"341",8382573,"ECO201","201910","Y","A","A",4
"342",8382573,"ISA225","201910","Y","A","A-",3.7
"343",8382573,"ISA235","202010","Y","B","B",3
"344",8382573,"ISA281","202010","Y","B","B",3
"345",8382573,"MGT291","201830","Y","A","A-",3.7
"346",8382573,"MTH151","201810","Y","A","A+",4
"347",8382476,"ACC221","201810","Y","A","A",4
"348",8382476,"BUS104","201810","Y","A","A+",4
"349",8382476,"CSE148","201820","Y","A","A",4
"350",8382476,"FIN301","201920","Y","A","A",4
"351",8382476,"ISA225","201910","Y","A","A-",3.7
"352",8382476,"ISA235","201910","Y","A","A",4
"353",8382476,"ISA245","201920","Y","A","A",4
"354",8382476,"ISA281","201910","Y","A","A",4
"355",8382476,"ISA291","202010","Y","A","A",4
"356",8382476,"ISA301","202020","Y","A","A",4
"357",8382476,"ISA387","202010","Y","A","A",4
"358",8382476,"ISA401","202020","Y","A","A",4
"359",8382476,"ISA406","202020","Y","A","A",4
"360",8382476,"ISA495","202020","Y","A","A",4
"361",8382476,"ISA512","202110","Y","B","B",3
"362",8382476,"ISA514","202110","Y","A","A+",4
"363",8382476,"ISA591","202110","Y","B","B",3
"364",8382476,"ISA616","202110","Y","A","A",4
"365",8382476,"ISA630","202120","Y","A","A",4
"366",8382476,"ISA632","202120","Y","A","A",4
"367",8382476,"ISA633","202120","Y","A","A-",3.7
"368",8382476,"ISA634","202120","Y","B","B+",3.3
"369",8382476,"ISA650","202115","Y","A","A",4
"370",8382476,NA,"202120","Y","A","A",4
"371",8382476,"MGT291","201920","Y","A","A",4
"372",8379976,"ACC221","201820","Y","D","D-",0.7
"373",8379976,"BUS104","201810","Y","B","B",3
"374",8379976,"CSE148","201820","Y","B","B",3
"375",8379976,"ISA225","201820","Y","C","C+",2.3
"376",8379976,"ISA235","201910","Y","C","C-",1.7
"377",8379976,"ISA245","201920","Y","C","C-",1.7
"378",8379976,"ISA281","201910","Y","D","D+",1.3
"379",8379976,"ISA301","202010","Y","B","B-",2.7
"380",8379976,"ISA387","202010","Y","B","B-",2.7
"381",8379976,"ISA401","202110","Y","B","B+",3.3
"382",8379976,"ISA406","202120","Y","B","B-",2.7
"383",8379976,"ISA414","202120","Y","A","A-",3.7
"384",8379976,"ISA495","202120","Y","C","C+",2.3
"385",8379976,"MGT291","201920","Y","B","B",3
"386",8379976,"MTH151","201810","Y","B","B+",3.3
"387",8379300,"ACC221","202010","Y","C","C-",1.7
"388",8379300,"BUS104","201910","Y","B","B+",3.3
"389",8379300,"CSE148","201810","Y","B","B",3
"390",8379300,"ECO201","201820","Y","D","D+",1.3
"391",8379300,"ISA225","201920","Y","B","B",3
"392",8379300,"ISA235","201910","Y","B","B",3
"393",8379300,"ISA245","201920","Y","B","B-",2.7
"394",8379300,"ISA281","202010","Y","C","C+",2.3
"395",8379300,"ISA301","201920","Y","C","C",2
"396",8379300,"ISA387","202010","Y","C","C+",2.3
"397",8379300,"ISA405","202020","Y","B","B+",3.3
"398",8379300,"ISA406","202120","Y","B","B",3
"399",8379300,"ISA495","202120","Y","B","B",3
"400",8379300,"MGT291","201920","Y","B","B-",2.7
"401",8379300,"MTH151","201810","Y","D","D",1
"402",8379005,"ACC221","201910","Y","B","B+",3.3
"403",8379005,"BUS104","201810","Y","A","A-",3.7
"404",8379005,"CSE148","201820","Y","A","A",4
"405",8379005,"ECO201","201920","Y","B","B+",3.3
"406",8379005,"FIN301","202020","Y","A","A",4
"407",8379005,"ISA225","201910","Y","B","B",3
"408",8379005,"ISA235","201910","Y","B","B+",3.3
"409",8379005,"ISA245","201920","Y","B","B-",2.7
"410",8379005,"ISA281","202010","Y","B","B+",3.3
"411",8379005,"ISA301","202110","Y","A","A",4
"412",8379005,"ISA305","202020","Y","B","B+",3.3
"413",8379005,"ISA387","202010","Y","B","B+",3.3
"414",8379005,"ISA401","202120","Y","A","A",4
"415",8379005,"ISA406","202020","Y","A","A",4
"416",8379005,"ISA495","202110","Y","A","A",4
"417",8379005,"MGT291","201910","Y","B","B+",3.3
"418",8378360,"ACC221","201910","Y","B","B-",2.7
"419",8378360,"BUS104","201810","Y","A","A",4
"420",8378360,"CSE148","201820","Y","A","A",4
"421",8378360,"ECO201","201920","Y","B","B",3
"422",8378360,"FIN301","201930","Y","B","B",3
"423",8378360,"ISA225","201910","Y","B","B",3
"424",8378360,"ISA235","201910","Y","A","A",4
"425",8378360,"ISA245","201920","Y","B","B",3
"426",8378360,"ISA281","202010","Y","B","B",3
"427",8378360,"ISA301","202020","Y","B","B",3
"428",8378360,"ISA303","202110","Y","A","A-",3.7
"429",8378360,"ISA305","202120","Y","B","B",3
"430",8378360,"ISA387","202010","Y","B","B-",2.7
"431",8378360,"ISA405","202120","Y","B","B+",3.3
"432",8378360,"ISA406","202020","Y","B","B",3
"433",8378360,"ISA495","202110","Y","A","A",4
"434",8378360,"MGT291","201920","Y","A","A-",3.7
"435",8378360,"MTH151","201810","Y","B","B",3
"436",8378080,"ACC221","201910","Y","C","C+",2.3
"437",8378080,"BUS104","201810","Y","B","B+",3.3
"438",8378080,"CSE148","201820","Y","B","B+",3.3
"439",8378080,"FIN301","202010","Y","A","A",4
"440",8378080,"ISA225","201910","Y","B","B-",2.7
"441",8378080,"ISA235","201920","Y","A","A-",3.7
"442",8378080,"ISA245","202010","Y","A","A-",3.7
"443",8378080,"ISA281","202010","Y","B","B+",3.3
"444",8378080,"ISA301","202020","Y","A","A",4
"445",8378080,"ISA387","202110","Y","A","A",4
"446",8378080,"ISA406","202120","Y","A","A",4
"447",8378080,"ISA481","202010","Y","A","A",4
"448",8378080,"ISA495","202110","Y","A","A",4
"449",8378080,"MGT291","201910","Y","A","A",4
"450",8378080,"MTH151","201810","Y","D","D",1
"451",8377378,"ACC221","201920","Y","B","B-",2.7
"452",8377378,"BUS104","201910","Y","A","A-",3.7
"453",8377378,"CSE148","201820","Y","A","A-",3.7
"454",8377378,"ECO201","201920","Y","A","A-",3.7
"455",8377378,"ISA225","201910","Y","A","A-",3.7
"456",8377378,"ISA235","201920","Y","B","B+",3.3
"457",8377378,"ISA245","202010","Y","B","B+",3.3
"458",8377378,"ISA281","201920","Y","A","A",4
"459",8377378,"ISA291","202110","Y","B","B+",3.3
"460",8377378,"ISA301","202010","Y","B","B+",3.3
"461",8377378,"ISA305","202120","Y","B","B+",3.3
"462",8377378,"ISA387","202010","Y","B","B+",3.3
"463",8377378,"ISA405","202120","Y","B","B+",3.3
"464",8377378,"ISA406","202110","Y","A","A-",3.7
"465",8377378,"ISA495","202110","Y","A","A",4
"466",8377378,"MGT291","202020","Y","A","A",4
"467",8377378,"MTH151","201810","Y","B","B",3
"468",8377224,"ACC221","201820","Y","B","B-",2.7
"469",8377224,"BUS104","201810","Y","A","A",4
"470",8377224,"CSE148","201820","Y","A","A",4
"471",8377224,"FIN301","202010","Y","C","C",2
"472",8377224,"ISA225","201910","Y","B","B-",2.7
"473",8377224,"ISA235","201910","Y","A","A",4
"474",8377224,"ISA245","201920","Y","C","C+",2.3
"475",8377224,"ISA281","201920","Y","B","B-",2.7
"476",8377224,"ISA303","202010","Y","B","B",3
"477",8377224,"ISA387","202110","Y","A","A-",3.7
"478",8377224,"ISA406","202120","Y","A","A",4
"479",8377224,"ISA495","202110","Y","A","A",4
"480",8377224,"MGT291","201920","Y","B","B",3
"481",8374059,"ACC221","201820","Y","C","C",2
"482",8374059,"BUS104","201810","Y","A","A",4
"483",8374059,"CSE148","201820","Y","B","B-",2.7
"484",8374059,"FIN301","201920","Y","B","B-",2.7
"485",8374059,"ISA225","201920","Y","A","A-",3.7
"486",8374059,"ISA235","201910","Y","B","B+",3.3
"487",8374059,"ISA245","202010","Y","A","A",4
"488",8374059,"ISA301","202110","Y","B","B+",3.3
"489",8374059,"ISA305","202020","Y","A","A-",3.7
"490",8374059,"ISA387","202010","Y","A","A-",3.7
"491",8374059,"ISA406","202020","Y","A","A",4
"492",8374059,"ISA495","202020","Y","A","A",4
"493",8374059,"MGT291","201920","Y","A","A+",4
"494",8373905,"ACC221","201910","Y","C","C+",2.3
"495",8373905,"BUS104","201810","Y","B","B+",3.3
"496",8373905,"CSE148","201820","Y","C","C+",2.3
"497",8373905,"ECO201","201910","Y","D","D",1
"498",8373905,"FIN301","202010","Y","B","B",3
"499",8373905,"ISA225","202030","Y","D","D",1
"500",8373905,NA,"202110","Y","C","C+",2.3
"501",8373905,"ISA235","201910","Y","B","B",3
"502",8373905,"ISA245","201920","Y","D","D+",1.3
"503",8373905,"ISA281","202010","Y","B","B",3
"504",8373905,"ISA291","202120","Y","C","C",2
"505",8373905,"ISA301","202120","Y","C","C+",2.3
"506",8373905,"ISA365","202110","Y","D","D+",1.3
"507",8373905,"ISA387","202110","Y","C","C",2
"508",8373905,"ISA406","202120","Y","B","B",3
"509",8373905,"ISA495","202110","Y","B","B+",3.3
"510",8373905,"MGT291","201910","Y","C","C",2
"511",8373905,"MTH151","202020","Y","D","D",1
"512",8373893,"ACC221","201910","Y","B","B+",3.3
"513",8373893,"BUS104","201920","Y","A","A-",3.7
"514",8373893,"CSE148","201910","Y","A","A",4
"515",8373893,"ECO201","201820","Y","A","A",4
"516",8373893,"FIN301","202010","Y","A","A+",4
"517",8373893,"ISA225","201920","Y","A","A-",3.7
"518",8373893,"ISA235","202010","Y","A","A-",3.7
"519",8373893,"ISA301","202110","Y","B","B+",3.3
"520",8373893,"ISA303","202110","Y","A","A",4
"521",8373893,"ISA387","202110","Y","A","A-",3.7
