"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"569",8125971,"202415",6,6,85
"570",8125971,"202420",12,12,97
"571",8125971,"202510",NA,NA,97
"572",8125971,"202515",NA,NA,97
"573",8125971,"202520",NA,NA,97
"574",8126128,"202310",15,24,24
"575",8126128,"202320",9,9,33
"576",8128246,"202310",17,45,45
"577",8128246,"202320",16,16,61
"578",8128246,"202410",17,17,78
"579",8128246,"202420",17,17,95
"580",8128246,"202510",NA,NA,95
"581",8129036,"202310",12,21,21
"582",8129036,"202320",11,11,32
"583",8129036,"202410",12,12,44
"584",8129036,"202415",6,6,50
"585",8129036,"202420",12,12,62
"586",8129036,"202510",NA,NA,62
"587",8129435,"202230",4,4,4
"588",8129435,"202310",16,34,38
"589",8129435,"202320",15,15,53
"590",8129435,"202330",4,4,57
"591",8129435,"202410",15,15,72
"592",8129435,"202420",15,15,87
"593",8129435,"202430",6,6,93
"594",8129435,"202510",NA,NA,93
"595",8129435,"202515",NA,NA,93
"596",8129482,"202310",17,29,29
"597",8129482,"202320",17,17,46
"598",8129482,"202410",15,15,61
"599",8129482,"202420",16,16,77
"600",8129482,"202510",0,0,77
"601",8129662,"202310",15,15,15
"602",8129662,"202320",12,12,27
"603",8129662,"202410",14,14,41
"604",8129662,"202420",15,15,56
"605",8129662,"202510",NA,NA,56
"606",8130203,"202310",15,79,79
"607",8130203,"202320",16,16,95
"608",8130203,"202410",15,15,110
"609",8130203,"202420",0,16,126
"610",8130203,"202510",NA,NA,126
"611",8131023,"202310",15,15,15
"612",8131023,"202320",16,16,31
"613",8131023,"202410",12,12,43
"614",8131023,"202420",15,15,58
"615",8131023,"202430",7,7,65
"616",8131023,"202510",NA,NA,65
"617",8132465,"202230",4,4,4
"618",8132465,"202310",16,28,32
"619",8132465,"202320",17,17,49
"620",8132465,"202410",15,15,64
"621",8132465,"202420",15,15,79
"622",8132465,"202510",NA,NA,79
"623",8132721,"202310",17,51,51
"624",8132721,"202320",15,15,66
"625",8132721,"202330",3,3,69
"626",8132721,"202410",12,12,81
"627",8132721,"202420",12,12,93
"628",8132721,"202510",NA,NA,93
"629",8132821,"202310",15,39,39
"630",8132821,"202320",15,15,54
"631",8132821,"202410",15,15,69
"632",8132915,"202310",15,33,33
"633",8132915,"202320",15,15,48
"634",8132915,"202410",16,16,64
"635",8132915,"202420",14,14,78
"636",8132915,"202510",NA,NA,78
"637",8134173,"202310",15,15,15
"638",8134173,"202320",12,12,27
"639",8134369,"202310",16,16,16
"640",8134369,"202320",19,19,35
"641",8134369,"202410",17,17,52
